age,workclass,fnlwgt,education,educational_num,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,salary
60,Private,1031318,Prof-school,15,Widowed,Machine-op-inspct,Wife,White,Female,0,0,23,United-States,40772.64
44,Private,1267008,12th,8,Widowed,Exec-managerial,Unmarried,White,Male,0,0,47,United-States,86388.98
52,Private,764444,Doctorate,16,Married-civ-spouse,Adm-clerical,Wife,White,Male,0,0,30,United-States,81248.85
69,State-gov,639720,Preschool,1,Separated,Craft-repair,Husband,White,Female,0,0,32,Cuba,15000.0
38,Private,316094,HS-grad,9,Widowed,Priv-house-serv,Husband,Amer-Indian-Eskimo,Male,0,0,25,Trinadad&Tobago,15000.0
34,Private,33387,Doctorate,16,Widowed,Armed-Forces,Unmarried,White,Female,0,0,38,United-States,70026.23
45,Self-emp-not-inc,1125488,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,34,United-States,63820.99
72,Private,452882,Assoc-acdm,12,Never-married,Handlers-cleaners,Other-relative,White,Male,0,14,32,United-States,26389.95
81,Private,127235,11th,7,Divorced,Craft-repair,Husband,White,Female,0,0,25,United-States,18976.54
52,Private,457557,12th,8,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,49,United-States,91966.48
72,Private,726987,12th,8,Separated,Protective-serv,Not-in-family,White,Male,19,9,44,United-States,39155.74
73,Private,862129,Bachelors,13,Married-AF-spouse,Handlers-cleaners,Not-in-family,White,Female,0,0,58,United-States,55934.59
46,Self-emp-inc,779727,5th-6th,3,Separated,Priv-house-serv,Husband,White,Male,0,0,52,United-States,22211.95
35,Private,1497045,HS-grad,9,Married-spouse-absent,Handlers-cleaners,Wife,White,Male,0,0,49,United-States,33360.11
20,Private,1374940,5th-6th,3,Never-married,Prof-specialty,Unmarried,White,Female,0,0,24,United-States,15000.0
86,Private,1477071,10th,6,Never-married,Exec-managerial,Husband,White,Male,0,0,31,United-States,32544.18
21,Self-emp-not-inc,1125731,12th,8,Separated,Armed-Forces,Own-child,Amer-Indian-Eskimo,Male,0,0,32,United-States,20100.05
40,Private,529349,Prof-school,15,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,0,0,44,United-States,107675.32
86,Private,1466081,10th,6,Separated,Machine-op-inspct,Husband,White,Male,0,0,24,United-States,15868.17
48,Private,259430,HS-grad,9,Married-AF-spouse,Handlers-cleaners,Other-relative,White,Male,0,0,38,United-States,33892.9
53,Private,216487,11th,7,Never-married,Adm-clerical,Other-relative,White,Female,0,0,30,United-States,22338.07
77,Private,548645,1st-4th,2,Divorced,Transport-moving,Wife,White,Female,0,0,39,United-States,15048.9
73,Private,1384598,Some-college,10,Never-married,Protective-serv,Unmarried,White,Female,154,0,37,United-States,45519.05
37,Private,541111,5th-6th,3,Separated,Armed-Forces,Not-in-family,White,Male,0,0,28,United-States,19988.1
74,Self-emp-not-inc,1409384,Bachelors,13,Married-AF-spouse,Craft-repair,Wife,White,Female,0,0,37,Canada,67217.56
66,Private,181918,Prof-school,15,Never-married,Transport-moving,Not-in-family,White,Male,0,0,30,United-States,75774.77
64,Local-gov,289215,Some-college,10,Divorced,Priv-house-serv,Not-in-family,White,Male,0,0,35,United-States,19648.53
20,Self-emp-inc,1115057,Doctorate,16,Married-spouse-absent,Other-service,Wife,White,Male,0,0,39,United-States,48218.62
20,Never-worked,1156332,12th,8,Married-AF-spouse,Transport-moving,Husband,White,Female,131,0,46,United-States,22341.4
25,Self-emp-inc,1071339,Some-college,10,Married-spouse-absent,Other-service,Not-in-family,White,Female,0,0,24,Cambodia,15000.0
46,Private,1397695,Prof-school,15,Separated,Machine-op-inspct,Own-child,White,Female,0,0,42,United-States,107428.46
38,Self-emp-not-inc,48547,1st-4th,2,Never-married,Armed-Forces,Husband,White,Male,114,0,36,United-States,19744.21
17,Federal-gov,1157272,Assoc-voc,11,Married-AF-spouse,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,52,United-States,21492.78
22,Private,294154,Assoc-voc,11,Never-married,Transport-moving,Own-child,White,Male,0,0,28,United-States,20905.4
41,Private,1086941,Doctorate,16,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0,0,46,Hungary,186729.26
79,Private,1367453,1st-4th,2,Married-AF-spouse,Adm-clerical,Not-in-family,White,Male,27,31,44,United-States,23434.95
69,Private,867342,Masters,14,Married-spouse-absent,Armed-Forces,Wife,White,Male,0,0,35,United-States,74805.08
71,Private,411067,Doctorate,16,Married-civ-spouse,Armed-Forces,Not-in-family,White,Male,0,0,62,United-States,181784.85
49,Self-emp-not-inc,120155,7th-8th,4,Widowed,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,0,47,United-States,44723.56
62,Self-emp-not-inc,1495147,7th-8th,4,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,57,Mexico,29944.25
44,Private,167584,1st-4th,2,Widowed,Other-service,Unmarried,White,Male,0,0,40,United-States,18244.28
77,Private,728675,12th,8,Never-married,Machine-op-inspct,Husband,White,Female,0,0,67,United-States,44603.5
72,Private,1352057,10th,6,Married-spouse-absent,Tech-support,Unmarried,White,Male,0,0,36,United-States,33708.39
70,State-gov,615842,7th-8th,4,Widowed,Tech-support,Wife,White,Female,0,0,52,United-States,39864.78
27,Private,877780,Doctorate,16,Widowed,Tech-support,Not-in-family,White,Male,0,0,49,Canada,158916.06
24,Local-gov,568830,Doctorate,16,Married-AF-spouse,Armed-Forces,Other-relative,White,Female,0,0,31,United-States,49055.97
44,Private,871069,Bachelors,13,Married-civ-spouse,Priv-house-serv,Own-child,White,Female,0,0,54,Poland,44937.72
67,Local-gov,259768,7th-8th,4,Married-AF-spouse,Priv-house-serv,Husband,White,Female,0,0,55,United-States,17026.69
28,Private,482501,Bachelors,13,Married-AF-spouse,Protective-serv,Own-child,Other,Male,0,0,55,United-States,73470.21
34,Private,1389390,10th,6,Married-AF-spouse,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,0,0,46,United-States,27139.49
39,Private,817744,Preschool,1,Divorced,Transport-moving,Wife,White,Male,0,0,26,United-States,15000.0
81,State-gov,1343572,11th,7,Widowed,Farming-fishing,Not-in-family,White,Female,0,0,38,United-States,19234.02
24,Private,787881,HS-grad,9,Separated,Prof-specialty,Wife,White,Female,0,0,34,United-States,28569.65
43,Private,1263499,Masters,14,Never-married,Farming-fishing,Husband,White,Female,0,0,26,United-States,35425.4
51,Local-gov,1407556,HS-grad,9,Divorced,Priv-house-serv,Wife,Black,Female,0,0,39,United-States,21326.37
67,Private,166951,Some-college,10,Widowed,Other-service,Own-child,White,Male,0,0,47,United-States,34795.04
29,Private,160023,Masters,14,Separated,Other-service,Other-relative,Black,Male,0,0,52,United-States,53571.56
44,Federal-gov,36086,Prof-school,15,Separated,Prof-specialty,Husband,White,Female,0,0,43,Canada,176151.02
21,Self-emp-inc,874950,HS-grad,9,Married-civ-spouse,Armed-Forces,Own-child,Black,Female,0,0,29,Mexico,16315.98
49,Private,1209151,Assoc-voc,11,Married-AF-spouse,Transport-moving,Husband,Other,Female,0,0,54,United-States,64035.57
89,Private,495662,10th,6,Married-civ-spouse,Tech-support,Wife,White,Male,0,0,38,United-States,42336.22
38,Private,328766,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,0,0,33,United-States,116945.01
51,Never-worked,444376,9th,5,Divorced,Tech-support,Unmarried,White,Female,276,0,32,United-States,33409.76
17,Federal-gov,567243,Some-college,10,Married-AF-spouse,Machine-op-inspct,Wife,White,Male,0,0,31,United-States,21844.67
61,Private,645329,10th,6,Widowed,Other-service,Husband,Asian-Pac-Islander,Male,0,0,57,United-States,30789.49
29,Private,1180834,5th-6th,3,Separated,Craft-repair,Husband,White,Male,0,0,53,United-States,28603.66
69,Private,1166083,7th-8th,4,Married-spouse-absent,Tech-support,Unmarried,White,Male,0,0,42,United-States,35941.62
69,Self-emp-inc,580442,Assoc-acdm,12,Married-spouse-absent,Sales,Other-relative,Other,Male,0,0,17,United-States,24792.68
65,Private,90811,5th-6th,3,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,0,0,42,United-States,21634.25
80,Private,1238343,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Female,0,0,50,United-States,106780.01
67,Private,826228,12th,8,Married-AF-spouse,Farming-fishing,Other-relative,White,Female,0,0,29,United-States,17321.73
49,Private,783422,Masters,14,Married-civ-spouse,Sales,Wife,White,Female,0,0,39,United-States,80261.71
34,Private,498906,11th,7,Separated,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,43,United-States,22353.64
70,Local-gov,488356,Bachelors,13,Separated,Protective-serv,Other-relative,White,Female,0,0,55,United-States,88692.51
44,Self-emp-not-inc,251225,Assoc-acdm,12,Married-civ-spouse,Sales,Other-relative,White,Female,0,0,46,United-States,65602.34
62,Private,1071404,Assoc-acdm,12,Divorced,Prof-specialty,Wife,White,Male,0,0,29,United-States,65744.61
59,Local-gov,1496516,12th,8,Separated,Farming-fishing,Unmarried,White,Female,0,0,41,United-States,27164.22
58,Self-emp-not-inc,1457947,Doctorate,16,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,54,United-States,133795.42
32,Private,788883,Prof-school,15,Separated,Protective-serv,Not-in-family,White,Female,0,0,44,United-States,94897.33
83,Self-emp-not-inc,1228106,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,33147.47
87,Private,1254992,12th,8,Married-civ-spouse,Farming-fishing,Husband,White,Female,0,0,50,Scotland,28861.37
65,State-gov,569351,Assoc-acdm,12,Married-spouse-absent,Priv-house-serv,Wife,Amer-Indian-Eskimo,Female,0,0,45,United-States,26331.21
70,Private,863900,Assoc-acdm,12,Never-married,Craft-repair,Other-relative,Black,Male,0,0,50,United-States,63330.95
19,Private,647199,10th,6,Separated,Protective-serv,Husband,White,Female,0,0,45,Scotland,23206.62
84,State-gov,1127007,Preschool,1,Never-married,Farming-fishing,Unmarried,White,Female,0,0,30,United-States,15000.0
82,Without-pay,982892,9th,5,Widowed,Farming-fishing,Unmarried,White,Female,0,0,57,United-States,27185.04
60,Private,877482,12th,8,Separated,Exec-managerial,Not-in-family,Other,Male,0,0,40,United-States,52060.37
83,Local-gov,378226,10th,6,Divorced,Sales,Wife,White,Female,0,0,32,Japan,27021.69
33,Self-emp-inc,992293,HS-grad,9,Widowed,Sales,Other-relative,White,Male,0,0,45,United-States,42863.23
57,State-gov,279956,Prof-school,15,Never-married,Machine-op-inspct,Husband,White,Male,0,0,29,United-States,58078.23
